filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness
c:/Github/BDC2026\train\2_Organic\O_4682.jpg,O_4682.jpg,train,2_Organic,7044,1604328412.0,2020-11-02 21:46:52,11193aaf5c68a07bd7165e58ad8c9f77,False,225,225,RGB,JPEG,1.0,bedf932c4c1a36a0,170.44719670781893,48.13222790205324
c:/Github/BDC2026\test\952.jpg,952.jpg,test,,7044,1782752596.0,2026-06-30 00:03:16,11193aaf5c68a07bd7165e58ad8c9f77,False,225,225,RGB,JPEG,1.0,bedf932c4c1a36a0,170.44719670781893,48.13222790205324
c:/Github/BDC2026\train\2_Organic\O_4533.jpg,O_4533.jpg,train,2_Organic,13245,1604328412.0,2020-11-02 21:46:52,119d3596f40075eed531696dd354fa45,False,268,188,RGB,JPEG,1.425531914893617,bfda7d0147ac6882,107.06840796019901,58.30682842167848
c:/Github/BDC2026\test\554.jpg,554.jpg,test,,13245,1782752596.0,2026-06-30 00:03:16,119d3596f40075eed531696dd354fa45,False,268,188,RGB,JPEG,1.425531914893617,bfda7d0147ac6882,107.06840796019901,58.30682842167848
c:/Github/BDC2026\train\2_Organic\O_4825.jpg,O_4825.jpg,train,2_Organic,7375,1604328412.0,2020-11-02 21:46:52,12dfeb7775db4d47d42a97c0fb2c46f7,False,305,165,RGB,JPEG,1.8484848484848484,f681c9eeb0a3051f,108.11492631230335,83.34153898379101
c:/Github/BDC2026\test\1288.jpg,1288.jpg,test,,7375,1782752596.0,2026-06-30 00:03:16,12dfeb7775db4d47d42a97c0fb2c46f7,False,305,165,RGB,JPEG,1.8484848484848484,f681c9eeb0a3051f,108.11492631230335,83.34153898379101
c:/Github/BDC2026\train\1_Electronic\Player_105.jpg,Player_105.jpg,train,1_Electronic,5679,1781617556.0,2026-06-16 20:45:56,1730b85dd03214e24d44ce834cb6a95b,False,150,150,RGB,JPEG,1.0,c8e05518c1bfba57,135.62345185185185,51.495750832878095
c:/Github/BDC2026\test\338.jpg,338.jpg,test,,5679,1782752596.0,2026-06-30 00:03:16,1730b85dd03214e24d44ce834cb6a95b,False,150,150,RGB,JPEG,1.0,c8e05518c1bfba57,135.62345185185185,51.495750832878095
c:/Github/BDC2026\train\2_Organic\O_4636.jpg,O_4636.jpg,train,2_Organic,8814,1604328412.0,2020-11-02 21:46:52,1a955d3745ee52301f76bedf0e1c5afe,False,259,194,RGB,JPEG,1.3350515463917525,b38c63f11ce36499,196.60298000504187,39.45363650117104
c:/Github/BDC2026\test\929.jpg,929.jpg,test,,8814,1782752596.0,2026-06-30 00:03:16,1a955d3745ee52301f76bedf0e1c5afe,False,259,194,RGB,JPEG,1.3350515463917525,b38c63f11ce36499,196.60298000504187,39.45363650117104
c:/Github/BDC2026\train\2_Organic\O_4603.jpg,O_4603.jpg,train,2_Organic,11876,1604328412.0,2020-11-02 21:46:52,1b98a6c3dd2fa2494690a091486fc1f7,False,223,226,RGB,JPEG,0.9867256637168141,e7b835166b8c9545,121.79131447015094,65.39862578023353
c:/Github/BDC2026\test\1274.jpg,1274.jpg,test,,11876,1782752596.0,2026-06-30 00:03:16,1b98a6c3dd2fa2494690a091486fc1f7,False,223,226,RGB,JPEG,0.9867256637168141,e7b835166b8c9545,121.79131447015094,65.39862578023353
c:/Github/BDC2026\train\2_Organic\O_4494.jpg,O_4494.jpg,train,2_Organic,9158,1604328410.0,2020-11-02 21:46:50,1d02ca2ac1e0a03037b4edc6096bef9a,False,183,275,RGB,JPEG,0.6654545454545454,d5394a872d1b351e,140.7418181818182,74.88211029992821
c:/Github/BDC2026\test\408.jpg,408.jpg,test,,9158,1782752596.0,2026-06-30 00:03:16,1d02ca2ac1e0a03037b4edc6096bef9a,False,183,275,RGB,JPEG,0.6654545454545454,d5394a872d1b351e,140.7418181818182,74.88211029992821
c:/Github/BDC2026\train\2_Organic\O_4580.jpg,O_4580.jpg,train,2_Organic,14104,1604328412.0,2020-11-02 21:46:52,20983d0305cf274c726efd952c9f1c84,False,201,251,RGB,JPEG,0.8007968127490039,b87e83603c3a6cce,142.03805012123976,72.36804344657835
c:/Github/BDC2026\test\268.jpg,268.jpg,test,,14104,1782752596.0,2026-06-30 00:03:16,20983d0305cf274c726efd952c9f1c84,False,201,251,RGB,JPEG,0.8007968127490039,b87e83603c3a6cce,142.03805012123976,72.36804344657835
c:/Github/BDC2026\train\2_Organic\O_4588.jpg,O_4588.jpg,train,2_Organic,5434,1604328412.0,2020-11-02 21:46:52,20f7593a9c445cac9569cb74a6fd7f7a,False,211,239,RGB,JPEG,0.8828451882845189,b3aecc4198939b99,161.19623629260943,53.8472103460777
c:/Github/BDC2026\test\1129.jpg,1129.jpg,test,,5434,1782752596.0,2026-06-30 00:03:16,20f7593a9c445cac9569cb74a6fd7f7a,False,211,239,RGB,JPEG,0.8828451882845189,b3aecc4198939b99,161.19623629260943,53.8472103460777
c:/Github/BDC2026\train\2_Organic\O_4786.jpg,O_4786.jpg,train,2_Organic,6778,1604328412.0,2020-11-02 21:46:52,258a036631d5a46c3b120e7957927626,False,255,198,RGB,JPEG,1.2878787878787878,ee98b133856b9265,186.06395986003827,64.83210180156121
c:/Github/BDC2026\test\294.jpg,294.jpg,test,,6778,1782752596.0,2026-06-30 00:03:16,258a036631d5a46c3b120e7957927626,False,255,198,RGB,JPEG,1.2878787878787878,ee98b133856b9265,186.06395986003827,64.83210180156121
c:/Github/BDC2026\train\2_Organic\O_4646.jpg,O_4646.jpg,train,2_Organic,11754,1604328412.0,2020-11-02 21:46:52,26a1e4fe29e8d08d1469622d48a11251,False,300,168,RGB,JPEG,1.7857142857142858,eb552d6aa432f053,92.02470238095238,55.95202319713797
c:/Github/BDC2026\test\71.jpg,71.jpg,test,,11754,1782752596.0,2026-06-30 00:03:16,26a1e4fe29e8d08d1469622d48a11251,False,300,168,RGB,JPEG,1.7857142857142858,eb552d6aa432f053,92.02470238095238,55.95202319713797
c:/Github/BDC2026\train\2_Organic\O_4816.jpg,O_4816.jpg,train,2_Organic,11785,1604328412.0,2020-11-02 21:46:52,27ea935f668538fa11ea363e956d0387,False,318,159,RGB,JPEG,2.0,aaeccd93b48141bd,164.15036325039884,77.71956782914333
c:/Github/BDC2026\test\113.jpg,113.jpg,test,,11785,1782752596.0,2026-06-30 00:03:16,27ea935f668538fa11ea363e956d0387,False,318,159,RGB,JPEG,2.0,aaeccd93b48141bd,164.15036325039884,77.71956782914333
c:/Github/BDC2026\train\2_Organic\O_4690.jpg,O_4690.jpg,train,2_Organic,7442,1604328412.0,2020-11-02 21:46:52,2ac0868633bf9e643557a8c9869449e4,False,269,187,RGB,JPEG,1.4385026737967914,926e2cc963f44bb2,57.58947445149064,61.62260445413716
c:/Github/BDC2026\test\1055.jpg,1055.jpg,test,,7442,1782752596.0,2026-06-30 00:03:16,2ac0868633bf9e643557a8c9869449e4,False,269,187,RGB,JPEG,1.4385026737967914,926e2cc963f44bb2,57.58947445149064,61.62260445413716
c:/Github/BDC2026\train\2_Organic\O_4540.jpg,O_4540.jpg,train,2_Organic,7565,1604328412.0,2020-11-02 21:46:52,2b99bdaa58210b9e0b65a08ba164d5ef,False,299,168,RGB,JPEG,1.7797619047619047,b997c478cd438666,203.0923183097096,56.65538975131951
c:/Github/BDC2026\test\1315.jpg,1315.jpg,test,,7565,1782752596.0,2026-06-30 00:03:16,2b99bdaa58210b9e0b65a08ba164d5ef,False,299,168,RGB,JPEG,1.7797619047619047,b997c478cd438666,203.0923183097096,56.65538975131951
c:/Github/BDC2026\train\2_Organic\O_4534.jpg,O_4534.jpg,train,2_Organic,8375,1604328412.0,2020-11-02 21:46:52,2c5a8ca54989b802776783baa1f9e844,False,277,182,RGB,JPEG,1.521978021978022,de44293ff5734284,99.75434733737984,69.79922991683905
c:/Github/BDC2026\test\1262.jpg,1262.jpg,test,,8375,1782752596.0,2026-06-30 00:03:16,2c5a8ca54989b802776783baa1f9e844,False,277,182,RGB,JPEG,1.521978021978022,de44293ff5734284,99.75434733737984,69.79922991683905
c:/Github/BDC2026\train\2_Organic\O_4657.jpg,O_4657.jpg,train,2_Organic,17686,1604328412.0,2020-11-02 21:46:52,2d3d97e22d573f23a37095eb0de913a9,False,300,168,RGB,JPEG,1.7857142857142858,b39e3e60b54bd841,116.69878968253967,68.63012965440834
c:/Github/BDC2026\test\897.jpg,897.jpg,test,,17686,1782752596.0,2026-06-30 00:03:16,2d3d97e22d573f23a37095eb0de913a9,False,300,168,RGB,JPEG,1.7857142857142858,b39e3e60b54bd841,116.69878968253967,68.63012965440834
c:/Github/BDC2026\train\2_Organic\O_4507.jpg,O_4507.jpg,train,2_Organic,11411,1604328410.0,2020-11-02 21:46:50,2dd1e44d012bb5c31bbe17a1a19863c5,False,259,194,RGB,JPEG,1.3350515463917525,ae0bf65a82a519c7,146.31468508272633,70.4813348984737
c:/Github/BDC2026\test\375.jpg,375.jpg,test,,11411,1782752596.0,2026-06-30 00:03:16,2dd1e44d012bb5c31bbe17a1a19863c5,False,259,194,RGB,JPEG,1.3350515463917525,ae0bf65a82a519c7,146.31468508272633,70.4813348984737
c:/Github/BDC2026\train\2_Organic\O_4483.jpg,O_4483.jpg,train,2_Organic,8497,1604328410.0,2020-11-02 21:46:50,3391cf0a1507195f70dc89238b0ad0bb,False,287,176,RGB,JPEG,1.6306818181818181,bbfb80e4e3e400dc,128.53178782599514,44.26078761935393
c:/Github/BDC2026\test\415.jpg,415.jpg,test,,8497,1782752596.0,2026-06-30 00:03:16,3391cf0a1507195f70dc89238b0ad0bb,False,287,176,RGB,JPEG,1.6306818181818181,bbfb80e4e3e400dc,128.53178782599514,44.26078761935393
c:/Github/BDC2026\train\2_Organic\O_4521.jpg,O_4521.jpg,train,2_Organic,8030,1604328412.0,2020-11-02 21:46:52,38cd7db69edc9c7d7543a5072af7ef20,False,260,194,RGB,JPEG,1.3402061855670102,95fe46c1788e2b31,70.78096087761037,39.44587895450555
c:/Github/BDC2026\test\994.jpg,994.jpg,test,,8030,1782752596.0,2026-06-30 00:03:16,38cd7db69edc9c7d7543a5072af7ef20,False,260,194,RGB,JPEG,1.3402061855670102,95fe46c1788e2b31,70.78096087761037,39.44587895450555
c:/Github/BDC2026\train\2_Organic\O_4768.jpg,O_4768.jpg,train,2_Organic,9229,1604328412.0,2020-11-02 21:46:52,3b934dad78f04661821514eabe24a374,False,300,168,RGB,JPEG,1.7857142857142858,b1d0c0cfc71b931b,127.54738756613756,70.9549297299285
c:/Github/BDC2026\test\811.jpg,811.jpg,test,,9229,1782752596.0,2026-06-30 00:03:16,3b934dad78f04661821514eabe24a374,False,300,168,RGB,JPEG,1.7857142857142858,b1d0c0cfc71b931b,127.54738756613756,70.9549297299285
c:/Github/BDC2026\train\2_Organic\O_4571.jpg,O_4571.jpg,train,2_Organic,3791,1604328412.0,2020-11-02 21:46:52,3ed6416fe549ceb79fe94127d5685bb7,False,272,185,RGB,JPEG,1.4702702702702704,cad2852da5ad934b,214.57937864334926,55.329977647355044
c:/Github/BDC2026\test\447.jpg,447.jpg,test,,3791,1782752596.0,2026-06-30 00:03:16,3ed6416fe549ceb79fe94127d5685bb7,False,272,185,RGB,JPEG,1.4702702702702704,cad2852da5ad934b,214.57937864334926,55.329977647355044
c:/Github/BDC2026\train\2_Organic\O_4482.jpg,O_4482.jpg,train,2_Organic,12551,1604328410.0,2020-11-02 21:46:50,41a10cc8785ffda120bbbc314172940a,False,259,194,RGB,JPEG,1.3350515463917525,b749ba537a95a0a1,106.83529037137284,62.24539663366077
c:/Github/BDC2026\test\24.jpg,24.jpg,test,,12551,1782752596.0,2026-06-30 00:03:16,41a10cc8785ffda120bbbc314172940a,False,259,194,RGB,JPEG,1.3350515463917525,b749ba537a95a0a1,106.83529037137284,62.24539663366077
c:/Github/BDC2026\train\2_Organic\O_4469.jpg,O_4469.jpg,train,2_Organic,14525,1604328410.0,2020-11-02 21:46:50,43144f5ecd9d3d1cd7e60ce7064ebdc0,False,301,167,RGB,JPEG,1.8023952095808384,9cf8a09bd7c74053,109.4869065855001,68.87613038495222
c:/Github/BDC2026\test\467.jpg,467.jpg,test,,14525,1782752596.0,2026-06-30 00:03:16,43144f5ecd9d3d1cd7e60ce7064ebdc0,False,301,167,RGB,JPEG,1.8023952095808384,9cf8a09bd7c74053,109.4869065855001,68.87613038495222
c:/Github/BDC2026\train\2_Organic\O_4505.jpg,O_4505.jpg,train,2_Organic,10902,1604328410.0,2020-11-02 21:46:50,482ec5efef61c9751ccd2e8c5eaefb36,False,310,163,RGB,JPEG,1.901840490797546,f5ea09a21fa16c39,123.90645161290324,75.58379428305257
c:/Github/BDC2026\test\747.jpg,747.jpg,test,,10902,1782752596.0,2026-06-30 00:03:16,482ec5efef61c9751ccd2e8c5eaefb36,False,310,163,RGB,JPEG,1.901840490797546,f5ea09a21fa16c39,123.90645161290324,75.58379428305257
c:/Github/BDC2026\train\2_Organic\O_4501.jpg,O_4501.jpg,train,2_Organic,9540,1604328410.0,2020-11-02 21:46:50,483a61f13b94a62b4f3221a5f1189c02,False,260,194,RGB,JPEG,1.3402061855670102,deb3ea94e858a0c6,115.50607322231032,55.472226375889505
c:/Github/BDC2026\test\668.jpg,668.jpg,test,,9540,1782752596.0,2026-06-30 00:03:16,483a61f13b94a62b4f3221a5f1189c02,False,260,194,RGB,JPEG,1.3402061855670102,deb3ea94e858a0c6,115.50607322231032,55.472226375889505
c:/Github/BDC2026\train\2_Organic\O_4693.jpg,O_4693.jpg,train,2_Organic,12571,1604328412.0,2020-11-02 21:46:52,4e1aea70bf4edbfd3827cc4fb10649c4,False,300,168,RGB,JPEG,1.7857142857142858,91a45fe3ee045b19,79.40035052910052,70.91283728187524
c:/Github/BDC2026\test\1380.jpg,1380.jpg,test,,12571,1782752596.0,2026-06-30 00:03:16,4e1aea70bf4edbfd3827cc4fb10649c4,False,300,168,RGB,JPEG,1.7857142857142858,91a45fe3ee045b19,79.40035052910052,70.91283728187524
c:/Github/BDC2026\train\2_Organic\O_4685.jpg,O_4685.jpg,train,2_Organic,10794,1604328412.0,2020-11-02 21:46:52,501ff85596a22c14496c51261cad00c4,False,225,225,RGB,JPEG,1.0,e6e06e8c4abc9963,91.50891193415639,55.640885994980216
c:/Github/BDC2026\test\520.jpg,520.jpg,test,,10794,1782752596.0,2026-06-30 00:03:16,501ff85596a22c14496c51261cad00c4,False,225,225,RGB,JPEG,1.0,e6e06e8c4abc9963,91.50891193415639,55.640885994980216
c:/Github/BDC2026\train\2_Organic\O_4799.jpg,O_4799.jpg,train,2_Organic,6475,1604328412.0,2020-11-02 21:46:52,5167156e9b96b4018118b0ffce328b6d,False,275,183,RGB,JPEG,1.5027322404371584,eab0858f96783966,186.86381851299885,82.1124686983088
c:/Github/BDC2026\test\1442.jpg,1442.jpg,test,,6475,1782752596.0,2026-06-30 00:03:16,5167156e9b96b4018118b0ffce328b6d,False,275,183,RGB,JPEG,1.5027322404371584,eab0858f96783966,186.86381851299885,82.1124686983088
c:/Github/BDC2026\train\2_Organic\O_5064.jpg,O_5064.jpg,train,2_Organic,7529,1604328412.0,2020-11-02 21:46:52,556dd8488fc505fe5330d5f2a3ce67f3,False,300,168,RGB,JPEG,1.7857142857142858,e587986560e3d8f4,144.43204365079364,55.57329855818508
c:/Github/BDC2026\test\240.jpg,240.jpg,test,,7529,1782752596.0,2026-06-30 00:03:16,556dd8488fc505fe5330d5f2a3ce67f3,False,300,168,RGB,JPEG,1.7857142857142858,e587986560e3d8f4,144.43204365079364,55.57329855818508
c:/Github/BDC2026\train\2_Organic\O_4943.jpg,O_4943.jpg,train,2_Organic,15227,1604328412.0,2020-11-02 21:46:52,57abd6f1472de08bd4c8a6b868c421f5,False,259,194,RGB,JPEG,1.3350515463917525,adfab479945681d0,105.05656835038279,71.81089451681338
c:/Github/BDC2026\test\94.jpg,94.jpg,test,,15227,1782752596.0,2026-06-30 00:03:16,57abd6f1472de08bd4c8a6b868c421f5,False,259,194,RGB,JPEG,1.3350515463917525,adfab479945681d0,105.05656835038279,71.81089451681338
c:/Github/BDC2026\train\2_Organic\O_4994.jpg,O_4994.jpg,train,2_Organic,9050,1604328412.0,2020-11-02 21:46:52,5b82002868c865d10a17526e2493baa8,False,183,275,RGB,JPEG,0.6654545454545454,a180dc7eef05f20b,152.81441298228182,72.19539477199241
c:/Github/BDC2026\test\1361.jpg,1361.jpg,test,,9050,1782752596.0,2026-06-30 00:03:16,5b82002868c865d10a17526e2493baa8,False,183,275,RGB,JPEG,0.6654545454545454,a180dc7eef05f20b,152.81441298228182,72.19539477199241
c:/Github/BDC2026\train\2_Organic\O_5000.jpg,O_5000.jpg,train,2_Organic,13100,1604328412.0,2020-11-02 21:46:52,5cd0c9832440fe9991e6b393ef525fca,False,318,159,RGB,JPEG,2.0,8b0e48ee65f719c8,120.21446277177854,77.62341916407223
c:/Github/BDC2026\test\1183.jpg,1183.jpg,test,,13100,1782752596.0,2026-06-30 00:03:16,5cd0c9832440fe9991e6b393ef525fca,False,318,159,RGB,JPEG,2.0,8b0e48ee65f719c8,120.21446277177854,77.62341916407223
c:/Github/BDC2026\train\2_Organic\O_4720.jpg,O_4720.jpg,train,2_Organic,8286,1604328412.0,2020-11-02 21:46:52,5d597368e86ac56c5d6e48bce6be6ecb,False,300,168,RGB,JPEG,1.7857142857142858,efb80e75e09e41c1,144.25452380952382,69.17522121308616
c:/Github/BDC2026\test\1336.jpg,1336.jpg,test,,8286,1782752596.0,2026-06-30 00:03:16,5d597368e86ac56c5d6e48bce6be6ecb,False,300,168,RGB,JPEG,1.7857142857142858,efb80e75e09e41c1,144.25452380952382,69.17522121308616
c:/Github/BDC2026\train\2_Organic\O_4493.jpg,O_4493.jpg,train,2_Organic,10892,1604328410.0,2020-11-02 21:46:50,6033e4ef9d7dba1bd6f08b24b9ea4988,False,183,276,RGB,JPEG,0.6630434782608695,b7cc4893a17ec668,133.74303740661546,55.30862603226992
c:/Github/BDC2026\test\1340.jpg,1340.jpg,test,,10892,1782752596.0,2026-06-30 00:03:16,6033e4ef9d7dba1bd6f08b24b9ea4988,False,183,276,RGB,JPEG,0.6630434782608695,b7cc4893a17ec668,133.74303740661546,55.30862603226992
c:/Github/BDC2026\train\2_Organic\O_4629.jpg,O_4629.jpg,train,2_Organic,11192,1604328412.0,2020-11-02 21:46:52,6b1ec6ea86ecf2a8ffc02ae4b143a5ef,False,300,168,RGB,JPEG,1.7857142857142858,aa70cd96417bba07,115.02000661375662,55.62822559785267
c:/Github/BDC2026\test\846.jpg,846.jpg,test,,11192,1782752596.0,2026-06-30 00:03:16,6b1ec6ea86ecf2a8ffc02ae4b143a5ef,False,300,168,RGB,JPEG,1.7857142857142858,aa70cd96417bba07,115.02000661375662,55.62822559785267
c:/Github/BDC2026\train\1_Electronic\Player_45.jpg,Player_45.jpg,train,1_Electronic,4157,1781617530.0,2026-06-16 20:45:30,706703d918dbda0bab7c1422a6b94db9,False,150,150,RGB,JPEG,1.0,bfd2c049c33fc660,190.00685925925927,78.29498445527138
c:/Github/BDC2026\test\979.jpg,979.jpg,test,,4157,1782752596.0,2026-06-30 00:03:16,706703d918dbda0bab7c1422a6b94db9,False,150,150,RGB,JPEG,1.0,bfd2c049c33fc660,190.00685925925927,78.29498445527138
c:/Github/BDC2026\train\2_Organic\O_4487.jpg,O_4487.jpg,train,2_Organic,8607,1604328410.0,2020-11-02 21:46:50,70787e8ea41724306dacffbae76159b6,False,279,180,RGB,JPEG,1.55,a8d6a6d30790ce3d,180.10129430505776,65.35215392338038
c:/Github/BDC2026\test\1433.jpg,1433.jpg,test,,8607,1782752596.0,2026-06-30 00:03:16,70787e8ea41724306dacffbae76159b6,False,279,180,RGB,JPEG,1.55,a8d6a6d30790ce3d,180.10129430505776,65.35215392338038
c:/Github/BDC2026\train\2_Organic\O_4640.jpg,O_4640.jpg,train,2_Organic,6799,1604328412.0,2020-11-02 21:46:52,71648ce6092e9ded22e70ab636c5b26d,False,282,179,RGB,JPEG,1.5754189944134078,eab9d2ac0de28ca6,185.7098009693992,41.69711164379063
c:/Github/BDC2026\test\231.jpg,231.jpg,test,,6799,1782752596.0,2026-06-30 00:03:16,71648ce6092e9ded22e70ab636c5b26d,False,282,179,RGB,JPEG,1.5754189944134078,eab9d2ac0de28ca6,185.7098009693992,41.69711164379063
c:/Github/BDC2026\train\2_Organic\O_4731.jpg,O_4731.jpg,train,2_Organic,10888,1604328412.0,2020-11-02 21:46:52,7236cec5f98aa78c5a046dfec4efe9d1,False,275,183,RGB,JPEG,1.5027322404371584,bb94c44bc633339c,191.84717337307504,78.5387645551127
c:/Github/BDC2026\test\168.jpg,168.jpg,test,,10888,1782752596.0,2026-06-30 00:03:16,7236cec5f98aa78c5a046dfec4efe9d1,False,275,183,RGB,JPEG,1.5027322404371584,bb94c44bc633339c,191.84717337307504,78.5387645551127
c:/Github/BDC2026\train\2_Organic\O_4500.jpg,O_4500.jpg,train,2_Organic,6554,1604328410.0,2020-11-02 21:46:50,79de262dcf720aa6e9a4b686a0ea77b0,False,326,155,RGB,JPEG,2.1032258064516127,e49896699ae59966,199.58884491061417,73.82341189002813
c:/Github/BDC2026\test\421.jpg,421.jpg,test,,6554,1782752596.0,2026-06-30 00:03:16,79de262dcf720aa6e9a4b686a0ea77b0,False,326,155,RGB,JPEG,2.1032258064516127,e49896699ae59966,199.58884491061417,73.82341189002813
c:/Github/BDC2026\train\2_Organic\O_4801.jpg,O_4801.jpg,train,2_Organic,10804,1604328412.0,2020-11-02 21:46:52,7ae86618ea239cc341a40c77f1bb421c,False,276,183,RGB,JPEG,1.5081967213114753,eca1a75c9bd06263,160.374138750297,74.20600881595337
c:/Github/BDC2026\test\538.jpg,538.jpg,test,,10804,1782752596.0,2026-06-30 00:03:16,7ae86618ea239cc341a40c77f1bb421c,False,276,183,RGB,JPEG,1.5081967213114753,eca1a75c9bd06263,160.374138750297,74.20600881595337
c:/Github/BDC2026\train\2_Organic\O_4515.jpg,O_4515.jpg,train,2_Organic,12082,1604328410.0,2020-11-02 21:46:50,7b3cc4155a92aac452554046d36083b1,False,275,183,RGB,JPEG,1.5027322404371584,96b12a5b8764f952,128.35319754926311,59.501560832477224
c:/Github/BDC2026\test\765.jpg,765.jpg,test,,12082,1782752596.0,2026-06-30 00:03:16,7b3cc4155a92aac452554046d36083b1,False,275,183,RGB,JPEG,1.5027322404371584,96b12a5b8764f952,128.35319754926311,59.501560832477224
c:/Github/BDC2026\train\2_Organic\O_4866.jpg,O_4866.jpg,train,2_Organic,6009,1604328412.0,2020-11-02 21:46:52,7e6508b9622e848432700d4d5b0e910e,False,274,184,RGB,JPEG,1.4891304347826086,910837a7877ba03f,77.49507431503226,44.480547000603536
c:/Github/BDC2026\test\291.jpg,291.jpg,test,,6009,1782752596.0,2026-06-30 00:03:16,7e6508b9622e848432700d4d5b0e910e,False,274,184,RGB,JPEG,1.4891304347826086,910837a7877ba03f,77.49507431503226,44.480547000603536
c:/Github/BDC2026\train\2_Organic\O_4610.jpg,O_4610.jpg,train,2_Organic,14247,1604328412.0,2020-11-02 21:46:52,82c10b29c02293876d95f515dbab25bf,False,183,275,RGB,JPEG,0.6654545454545454,900b936fc9dc3c4d,98.5233780427223,66.7917440705234
c:/Github/BDC2026\test\287.jpg,287.jpg,test,,14247,1782752596.0,2026-06-30 00:03:16,82c10b29c02293876d95f515dbab25bf,False,183,275,RGB,JPEG,0.6654545454545454,900b936fc9dc3c4d,98.5233780427223,66.7917440705234
c:/Github/BDC2026\train\2_Organic\O_4736.jpg,O_4736.jpg,train,2_Organic,9704,1604328412.0,2020-11-02 21:46:52,855c01a2f86c8aba381279cdbf9a9dc6,False,195,258,RGB,JPEG,0.7558139534883721,af8787218e83dce8,151.9642814549791,81.07957537517508
c:/Github/BDC2026\test\1381.jpg,1381.jpg,test,,9704,1782752596.0,2026-06-30 00:03:16,855c01a2f86c8aba381279cdbf9a9dc6,False,195,258,RGB,JPEG,0.7558139534883721,af8787218e83dce8,151.9642814549791,81.07957537517508
c:/Github/BDC2026\train\2_Organic\O_4506.jpg,O_4506.jpg,train,2_Organic,7953,1604328410.0,2020-11-02 21:46:50,85fa315a3fa493a8ba5630f53ec21d1a,False,275,183,RGB,JPEG,1.5027322404371584,d10f7e314f436564,106.4989501573108,50.57394420004099
