filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness,outlier_reason
c:/Github/BDC2026\train\0_Recyclable\R_3045.jpg,R_3045.jpg,train,0_Recyclable,24840,1782418958.0,2026-06-26 03:22:38,f34dffcf54b4d994c3103b02a9e4bb72,False,176,286,RGB,JPEG,0.6153846153846154,ff29170f88278876,185.64949539097267,89.4125814948895,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3098.jpg,R_3098.jpg,train,0_Recyclable,25328,1782418960.0,2026-06-26 03:22:40,3623b4cb6a29f71beb29f4b34da63230,False,194,260,RGB,JPEG,0.7461538461538462,b64b4c7f143d01cb,170.08881178958498,87.35156817983405,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3114.jpg,R_3114.jpg,train,0_Recyclable,26685,1782418960.0,2026-06-26 03:22:40,45a651b7bd420893a299e018d88aa971,False,189,266,RGB,JPEG,0.7105263157894737,8a2fb5d1514e2637,186.51167601543543,78.92365994592265,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3115.jpg,R_3115.jpg,train,0_Recyclable,23702,1782418960.0,2026-06-26 03:22:40,e5fbfa032e91ac32a46bdd38cf14234a,False,197,256,RGB,JPEG,0.76953125,eb9fe19cb2614603,152.19875608079528,112.64568106329422,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3155.jpg,R_3155.jpg,train,0_Recyclable,26944,1782418960.0,2026-06-26 03:22:40,8f6ee3e354f55825a4c57010050f4b0b,False,270,187,RGB,JPEG,1.4438502673796791,d285adf2f6a98942,172.78565392486962,96.68311610617843,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3164.jpg,R_3164.jpg,train,0_Recyclable,22833,1782418960.0,2026-06-26 03:22:40,f4486f06722c5f6f86de2fa6bbeb8d38,False,215,234,RGB,JPEG,0.9188034188034188,f71a85e59c6433e0,122.66777313986616,108.54903241898006,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3168.jpg,R_3168.jpg,train,0_Recyclable,25570,1782418960.0,2026-06-26 03:22:40,4e45dfb6536e2a8ebb74f8bf8d27db57,False,178,283,RGB,JPEG,0.6289752650176679,ca6513b1b94ee46a,171.42960654305793,101.09629560597394,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3183.jpg,R_3183.jpg,train,0_Recyclable,27324,1782418960.0,2026-06-26 03:22:40,a9d9dc8d1218c0c43aa0ee015170708b,False,180,280,RGB,JPEG,0.6428571428571429,ee96a85b5226a569,169.0064880952381,102.614273487086,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3194.jpg,R_3194.jpg,train,0_Recyclable,24485,1782418960.0,2026-06-26 03:22:40,f636d2d8a8a7c1de9ab00026fa820351,False,180,280,RGB,JPEG,0.6428571428571429,fb944932d91936c9,172.30948412698413,97.14620813102893,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_419.jpg,R_419.jpg,train,0_Recyclable,25066,1782418964.0,2026-06-26 03:22:44,f5b21d550d2d5b1067311a0411443ce2,False,297,170,RGB,JPEG,1.7470588235294118,8483b01dffe8f22c,159.40010563147817,101.76970092308602,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4337.jpg,R_4337.jpg,train,0_Recyclable,28277,1782418966.0,2026-06-26 03:22:46,3ab989e40a58ea314b2e6c62034347ed,False,247,204,RGB,JPEG,1.2107843137254901,a9f7018f13d95391,182.6026633325395,92.85187986672514,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4364.jpg,R_4364.jpg,train,0_Recyclable,30835,1782418966.0,2026-06-26 03:22:46,46fe4212166f6c08c7236a2fc9b9ccfc,False,276,183,RGB,JPEG,1.5081967213114753,90e576707c214f67,161.3544718988411,102.37947442523615,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4378.jpg,R_4378.jpg,train,0_Recyclable,31475,1782418966.0,2026-06-26 03:22:46,370c3c62e075846aa1009e3c5f821783,False,225,225,RGB,JPEG,1.0,a8a7b0687781d6b5,118.03921646090537,88.80356672742546,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4396.jpg,R_4396.jpg,train,0_Recyclable,32984,1604328420.0,2020-11-02 21:47:00,2504ebe2ec7e428b62ce7637d6eb985f,False,269,187,RGB,JPEG,1.4385026737967914,c554f938fa68a41b,123.5134021165073,66.83028421910109,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4413.jpg,R_4413.jpg,train,0_Recyclable,22902,1782418966.0,2026-06-26 03:22:46,62f42351b089374b52ca887515e75a6f,False,310,163,RGB,JPEG,1.901840490797546,d1321e0f5c1535cf,141.81553532554918,107.45111576469333,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4425.jpg,R_4425.jpg,train,0_Recyclable,32209,1604328420.0,2020-11-02 21:47:00,d485b0de359f03e276d52273417cd070,False,275,183,RGB,JPEG,1.5027322404371584,c484f8ad9c87bcb4,130.10681900976985,75.7987222698601,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4431.jpg,R_4431.jpg,train,0_Recyclable,27729,1782418966.0,2026-06-26 03:22:46,0dd7b8a34a076a01d2d019ff46ba9cdd,False,224,224,RGB,JPEG,1.0,a9ae94cb45e64393,135.8295599489796,90.1146116329691,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4459.jpg,R_4459.jpg,train,0_Recyclable,22316,1782418966.0,2026-06-26 03:22:46,5c9e1e468ee097bafb2a27fec83438ab,False,225,225,RGB,JPEG,1.0,aaa1c564daa695b3,174.91009053497942,90.29004708036139,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4472.jpg,R_4472.jpg,train,0_Recyclable,27763,1782418966.0,2026-06-26 03:22:46,a4f8f8d741c64c5b47792b60fe4c4bed,False,275,183,RGB,JPEG,1.5027322404371584,c3c6d04ab1ba5bb8,183.01747309157145,84.75950073740167,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4528.jpg,R_4528.jpg,train,0_Recyclable,24674,1782418966.0,2026-06-26 03:22:46,f6f14d581e07ae74d256955bf32843bc,False,261,193,RGB,JPEG,1.3523316062176165,dbde7da542833070,130.04712842197208,105.90212260116787,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4537.jpg,R_4537.jpg,train,0_Recyclable,27882,1782418966.0,2026-06-26 03:22:46,b0949a483d0558003d947cd95033c582,False,227,222,RGB,JPEG,1.0225225225225225,ca86b4c7ee360476,105.63852839623765,94.58055090480156,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4545.jpg,R_4545.jpg,train,0_Recyclable,27851,1782418966.0,2026-06-26 03:22:46,28d0365fc2425da37d36ea29842b5e42,False,225,225,RGB,JPEG,1.0,d9bd13e430f616d0,125.51910452674896,98.96570711870498,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4553.jpg,R_4553.jpg,train,0_Recyclable,22355,1782418966.0,2026-06-26 03:22:46,21f0ed015769b01320bfd99c66426a56,False,274,184,RGB,JPEG,1.4891304347826086,9372988de7a0b725,139.67243864381678,100.27725736523662,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4565.jpg,R_4565.jpg,train,0_Recyclable,25140,1782418966.0,2026-06-26 03:22:46,ae31de17726d973579451e739d22ad92,False,275,183,RGB,JPEG,1.5027322404371584,b1ea06f872767c90,135.65745984434508,107.45644721812282,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4602.jpg,R_4602.jpg,train,0_Recyclable,27363,1782418966.0,2026-06-26 03:22:46,f93317c0a7c3b470129d6658b6176679,False,278,181,RGB,JPEG,1.5359116022099448,9b55e748c71f7014,112.49249440226824,93.39513424443645,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4625.jpg,R_4625.jpg,train,0_Recyclable,23627,1782418966.0,2026-06-26 03:22:46,c7ca140f901718b22852e276b36b8908,False,277,182,RGB,JPEG,1.521978021978022,ebe098b511d65873,151.5229103026937,108.97996027924391,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4643.jpg,R_4643.jpg,train,0_Recyclable,26662,1782418966.0,2026-06-26 03:22:46,3b99aab9b324ae4c4d473bcb7c3459f6,False,225,225,RGB,JPEG,1.0,ec9cacc989788b1b,97.28622880658436,100.21387935910235,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4657.jpg,R_4657.jpg,train,0_Recyclable,26147,1604328420.0,2020-11-02 21:47:00,6f55ccf3df21b0e09c4d003648a2d374,False,267,189,RGB,JPEG,1.4126984126984128,842049337f3f6d27,149.31433591608373,49.350546651983585,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4694.jpg,R_4694.jpg,train,0_Recyclable,24120,1782418966.0,2026-06-26 03:22:46,86ccc189d7b20bc77a83b51f6a373141,False,225,225,RGB,JPEG,1.0,db2608f1b6c9bd06,120.14269629629631,108.23866754868318,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4707.jpg,R_4707.jpg,train,0_Recyclable,26515,1604328420.0,2020-11-02 21:47:00,f7c8a3342a5098803ac17490e282dfa8,False,299,168,RGB,JPEG,1.7797619047619047,d4a049a249be5fb6,143.35231857514466,49.482966493640276,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4722.jpg,R_4722.jpg,train,0_Recyclable,28699,1782418966.0,2026-06-26 03:22:46,34f8ad6e1072b6d6fff60524090359d1,False,225,225,RGB,JPEG,1.0,ad9648ac19f219f6,150.49074567901235,43.881668172034104,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4751.jpg,R_4751.jpg,train,0_Recyclable,24232,1782418968.0,2026-06-26 03:22:48,4459cf032b0c52f5fd7fdc88a31f1b98,False,292,172,RGB,JPEG,1.697674418604651,d410b13bfb41871f,160.8398242540087,92.70624073577021,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4791.jpg,R_4791.jpg,train,0_Recyclable,25436,1782418968.0,2026-06-26 03:22:48,40f8af1fad2320cebff75ebb6679ec27,False,225,225,RGB,JPEG,1.0,ae86fa948ae3247c,78.62660082304527,82.39232099993073,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4801.jpg,R_4801.jpg,train,0_Recyclable,33058,1604328420.0,2020-11-02 21:47:00,e17b6794295d0aea2b431f798cf5cc4a,False,220,229,RGB,JPEG,0.9606986899563319,93929d64e139cf49,106.98897710731772,71.50827999960008,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4815.jpg,R_4815.jpg,train,0_Recyclable,22857,1782418968.0,2026-06-26 03:22:48,ee5d3564df5601a60c8352bb378d8ae1,False,259,194,RGB,JPEG,1.3350515463917525,c9086f9e7a11b45b,122.48394565404874,105.92725048189027,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4843.jpg,R_4843.jpg,train,0_Recyclable,27249,1782418968.0,2026-06-26 03:22:48,942f84f14a90546106b9f5b89315b1d0,False,225,225,RGB,JPEG,1.0,a69a8bb5628d2a6e,94.77075884773662,96.56556730549845,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_4857.jpg,R_4857.jpg,train,0_Recyclable,22357,1782418968.0,2026-06-26 03:22:48,99e923099712c0faf8c49d3c4edd57cd,False,275,184,RGB,JPEG,1.4945652173913044,b585233f653d2d30,129.17324769433466,70.28838539794019,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_5277.jpg,R_5277.jpg,train,0_Recyclable,22173,1782418970.0,2026-06-26 03:22:50,1cf28e8ecac0e3ce4ad59b7882d93e8a,False,251,201,RGB,JPEG,1.2487562189054726,d404ee6347cad734,144.43610632098472,90.33144345738197,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_5948.jpg,R_5948.jpg,train,0_Recyclable,23682,1782418972.0,2026-06-26 03:22:52,aca663db1038496c9c0bbf7e7f5818f8,False,227,222,RGB,JPEG,1.0225225225225225,ea9db472b0c386c9,150.21429799843898,97.49706580427001,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_645.jpg,R_645.jpg,train,0_Recyclable,26457,1782418976.0,2026-06-26 03:22:56,eda111a96279bbb2c194cdf610233c02,False,447,113,RGB,JPEG,3.9557522123893807,9454d3b34f3e7218,138.78658773996423,100.74981589631453,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7256.jpg,R_7256.jpg,train,0_Recyclable,23315,1782418980.0,2026-06-26 03:23:00,96b5b8d2e025356bac62f5f100f8739c,False,195,258,RGB,JPEG,0.7558139534883721,e79ab271e98c90d2,136.6409196316173,113.36403221407238,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7275.jpg,R_7275.jpg,train,0_Recyclable,22169,1604328422.0,2020-11-02 21:47:02,c66b665f693600e8da1c7c4a37356c2e,False,193,261,RGB,JPEG,0.7394636015325671,e96f8b96163cb824,145.49840853896598,79.06429765298951,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7286.jpg,R_7286.jpg,train,0_Recyclable,24774,1782418980.0,2026-06-26 03:23:00,1f8b0f6ff710f5e26c6502cfe682e613,False,204,247,RGB,JPEG,0.8259109311740891,c67e51d14a3634e5,161.95970601465956,96.5406853357078,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7386.jpg,R_7386.jpg,train,0_Recyclable,25157,1782418980.0,2026-06-26 03:23:00,4f5c5627b46c8a88a1391cafb5ec9e70,False,195,258,RGB,JPEG,0.7558139534883721,e617265d7113232f,158.96946266481152,95.7322308298389,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7453.jpg,R_7453.jpg,train,0_Recyclable,22056,1782418980.0,2026-06-26 03:23:00,eba9581535e0d5d6895c09dbc8590aec,False,190,266,RGB,JPEG,0.7142857142857143,99788c33c30967f6,134.46830233478434,105.68796357734129,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7477.jpg,R_7477.jpg,train,0_Recyclable,22186,1604328422.0,2020-11-02 21:47:02,e345e2ac021c61794364ee785140e2f9,False,190,265,RGB,JPEG,0.7169811320754716,ace2633c04b76b3c,135.52056272757366,87.13245702480879,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7511.jpg,R_7511.jpg,train,0_Recyclable,23786,1782418980.0,2026-06-26 03:23:00,e8a4c54779174d840aebc7c69f4ea38c,False,197,255,RGB,JPEG,0.7725490196078432,916df219cdb41339,114.3308582993265,109.33178793320855,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7627.jpg,R_7627.jpg,train,0_Recyclable,23051,1604328422.0,2020-11-02 21:47:02,133ec035f1ae9aa30ac1b713cb5fbdfc,False,194,259,RGB,JPEG,0.749034749034749,e1c69d85d85a4a3e,102.25414295001923,64.17761709369917,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7641.jpg,R_7641.jpg,train,0_Recyclable,26373,1782418982.0,2026-06-26 03:23:02,c84684116d3b1ae7ef097d6241965610,False,194,260,RGB,JPEG,0.7461538461538462,e69c4b31df564425,94.2347343378271,103.81391081474108,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7678.jpg,R_7678.jpg,train,0_Recyclable,24359,1782418982.0,2026-06-26 03:23:02,394af87f779a7513e3f78d51870edf27,False,198,255,RGB,JPEG,0.7764705882352941,f7083e0e99b16553,153.38179177394863,101.05463020119812,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7787.jpg,R_7787.jpg,train,0_Recyclable,25685,1782418982.0,2026-06-26 03:23:02,9c393a9eeb75e50a68dff0a29bc928a0,False,192,263,RGB,JPEG,0.7300380228136882,e78cb261e08ee18f,131.65189982044782,103.83049074199569,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7793.jpg,R_7793.jpg,train,0_Recyclable,22216,1604328422.0,2020-11-02 21:47:02,da8c67a2da0f092c8025a1643a403bb3,False,190,265,RGB,JPEG,0.7169811320754716,cd35258329ad1bbc,88.8398344918901,85.65768416285111,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7818.jpg,R_7818.jpg,train,0_Recyclable,23209,1604328422.0,2020-11-02 21:47:02,8919ea47c090e6e75db24cdcac7cfea7,False,195,259,RGB,JPEG,0.752895752895753,84c926f7dc92656c,148.37686697686698,77.79698319858399,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7821.jpg,R_7821.jpg,train,0_Recyclable,22514,1782418982.0,2026-06-26 03:23:02,f34992a328e2c98f720399070521dfe3,False,193,261,RGB,JPEG,0.7394636015325671,bce324dd893ebc01,129.8005280606674,111.5127547833116,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7826.jpg,R_7826.jpg,train,0_Recyclable,26128,1782418982.0,2026-06-26 03:23:02,e7d92dfbd6167e38780c05318a040f47,False,300,168,RGB,JPEG,1.7857142857142858,c9a0ee3c9ba1b4f0,132.43816137566137,106.85142994355424,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7833.jpg,R_7833.jpg,train,0_Recyclable,24507,1782418982.0,2026-06-26 03:23:02,16f49fd5e1a06505b2278e1789dc2b0b,False,191,263,RGB,JPEG,0.7262357414448669,c6f33d009e65564b,102.68449027531703,93.51052558191911,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7834.jpg,R_7834.jpg,train,0_Recyclable,22671,1604328422.0,2020-11-02 21:47:02,9c2f72b90134adbe143b4640ff7deb43,False,189,267,RGB,JPEG,0.7078651685393258,cd92a9710657cbb8,124.66589382319721,95.35321091248899,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7919.jpg,R_7919.jpg,train,0_Recyclable,22604,1604328422.0,2020-11-02 21:47:02,96817eaaca852cf774dc7cc4f616c6ce,False,189,267,RGB,JPEG,0.7078651685393258,f2a5dd5b0c0449bd,158.8519575398477,81.7997971598147,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_7969.jpg,R_7969.jpg,train,0_Recyclable,28309,1604328422.0,2020-11-02 21:47:02,97bc0df4eff0bc86137b73138bf0a9f6,False,194,260,RGB,JPEG,0.7461538461538462,809c97ae4cba5357,123.30857784826857,80.30101439273085,"size_bytes out of range [-5365.00, 22051.00]"
