filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness
c:/Github/BDC2026\train\2_Organic\O_4749.jpg,O_4749.jpg,train,2_Organic,5153,1604328412.0,2020-11-02 21:46:52,0c3c0f17509a1a2d768dcf8b2ab7b04a,False,190,265,RGB,JPEG,0.7169811320754716,bf96e0c89960c799,190.1598344918901,52.299510949788356
c:/Github/BDC2026\test\855.jpg,855.jpg,test,,5153,1782752596.0,2026-06-30 00:03:16,0c3c0f17509a1a2d768dcf8b2ab7b04a,False,190,265,RGB,JPEG,0.7169811320754716,bf96e0c89960c799,190.1598344918901,52.299510949788356
c:/Github/BDC2026\train\2_Organic\O_4512.jpg,O_4512.jpg,train,2_Organic,13917,1604328410.0,2020-11-02 21:46:50,0d0efe6599b139cbe3900e64ffb4f2bf,False,275,183,RGB,JPEG,1.5027322404371584,e6de1c4acd19512b,119.35030965391621,73.80155013761804
c:/Github/BDC2026\test\305.jpg,305.jpg,test,,13917,1782752596.0,2026-06-30 00:03:16,0d0efe6599b139cbe3900e64ffb4f2bf,False,275,183,RGB,JPEG,1.5027322404371584,e6de1c4acd19512b,119.35030965391621,73.80155013761804
c:/Github/BDC2026\train\2_Organic\O_4664.jpg,O_4664.jpg,train,2_Organic,9201,1604328412.0,2020-11-02 21:46:52,0ef9bb847ef49ddfda08ea8761f43121,False,300,168,RGB,JPEG,1.7857142857142858,d8557eaaa41f12e4,112.65603174603176,77.18313312154392
c:/Github/BDC2026\test\457.jpg,457.jpg,test,,9201,1782752596.0,2026-06-30 00:03:16,0ef9bb847ef49ddfda08ea8761f43121,False,300,168,RGB,JPEG,1.7857142857142858,d8557eaaa41f12e4,112.65603174603176,77.18313312154392
c:/Github/BDC2026\train\2_Organic\O_4649.jpg,O_4649.jpg,train,2_Organic,7767,1604328412.0,2020-11-02 21:46:52,0f415e657b3ab99201e4aac98ed20d5f,False,259,194,RGB,JPEG,1.3350515463917525,f0cf5a5962b264d4,116.99041383062001,70.89440184654099
c:/Github/BDC2026\test\1082.jpg,1082.jpg,test,,7767,1782752596.0,2026-06-30 00:03:16,0f415e657b3ab99201e4aac98ed20d5f,False,259,194,RGB,JPEG,1.3350515463917525,f0cf5a5962b264d4,116.99041383062001,70.89440184654099
c:/Github/BDC2026\train\2_Organic\O_4480.jpg,O_4480.jpg,train,2_Organic,11139,1604328410.0,2020-11-02 21:46:50,1002e9df0eb1c2b7154bb19ef9c85a8a,False,259,194,RGB,JPEG,1.3350515463917525,b78a37710cf2ac8c,158.9443139752418,61.69631318266397
c:/Github/BDC2026\test\813.jpg,813.jpg,test,,11139,1782752596.0,2026-06-30 00:03:16,1002e9df0eb1c2b7154bb19ef9c85a8a,False,259,194,RGB,JPEG,1.3350515463917525,b78a37710cf2ac8c,158.9443139752418,61.69631318266397
c:/Github/BDC2026\train\2_Organic\O_4682.jpg,O_4682.jpg,train,2_Organic,7044,1604328412.0,2020-11-02 21:46:52,11193aaf5c68a07bd7165e58ad8c9f77,False,225,225,RGB,JPEG,1.0,bedf932c4c1a36a0,170.44719670781893,48.13222790205324
c:/Github/BDC2026\test\952.jpg,952.jpg,test,,7044,1782752596.0,2026-06-30 00:03:16,11193aaf5c68a07bd7165e58ad8c9f77,False,225,225,RGB,JPEG,1.0,bedf932c4c1a36a0,170.44719670781893,48.13222790205324
c:/Github/BDC2026\train\2_Organic\O_4533.jpg,O_4533.jpg,train,2_Organic,13245,1604328412.0,2020-11-02 21:46:52,119d3596f40075eed531696dd354fa45,False,268,188,RGB,JPEG,1.425531914893617,bfda7d0147ac6882,107.06840796019901,58.30682842167848
c:/Github/BDC2026\test\554.jpg,554.jpg,test,,13245,1782752596.0,2026-06-30 00:03:16,119d3596f40075eed531696dd354fa45,False,268,188,RGB,JPEG,1.425531914893617,bfda7d0147ac6882,107.06840796019901,58.30682842167848
c:/Github/BDC2026\train\2_Organic\O_4825.jpg,O_4825.jpg,train,2_Organic,7375,1604328412.0,2020-11-02 21:46:52,12dfeb7775db4d47d42a97c0fb2c46f7,False,305,165,RGB,JPEG,1.8484848484848484,f681c9eeb0a3051f,108.11492631230335,83.34153898379101
c:/Github/BDC2026\test\1288.jpg,1288.jpg,test,,7375,1782752596.0,2026-06-30 00:03:16,12dfeb7775db4d47d42a97c0fb2c46f7,False,305,165,RGB,JPEG,1.8484848484848484,f681c9eeb0a3051f,108.11492631230335,83.34153898379101
c:/Github/BDC2026\train\1_Electronic\Player_105.jpg,Player_105.jpg,train,1_Electronic,5679,1781617556.0,2026-06-16 20:45:56,1730b85dd03214e24d44ce834cb6a95b,False,150,150,RGB,JPEG,1.0,c8e05518c1bfba57,135.62345185185185,51.495750832878095
c:/Github/BDC2026\test\338.jpg,338.jpg,test,,5679,1782752596.0,2026-06-30 00:03:16,1730b85dd03214e24d44ce834cb6a95b,False,150,150,RGB,JPEG,1.0,c8e05518c1bfba57,135.62345185185185,51.495750832878095
c:/Github/BDC2026\train\2_Organic\O_1453.jpg,O_1453.jpg,train,2_Organic,8335,1604328408.0,2020-11-02 21:46:48,18e0c587877ab4d9c338d9f998896ae7,False,225,225,RGB,JPEG,1.0,afe0c01e9a6d6f90,191.99175637860083,83.8377087397008
c:/Github/BDC2026\train\2_Organic\O_403.jpg,O_403.jpg,train,2_Organic,8335,1604328410.0,2020-11-02 21:46:50,18e0c587877ab4d9c338d9f998896ae7,False,225,225,RGB,JPEG,1.0,afe0c01e9a6d6f90,191.99175637860083,83.8377087397008
c:/Github/BDC2026\train\2_Organic\O_4636.jpg,O_4636.jpg,train,2_Organic,8814,1604328412.0,2020-11-02 21:46:52,1a955d3745ee52301f76bedf0e1c5afe,False,259,194,RGB,JPEG,1.3350515463917525,b38c63f11ce36499,196.60298000504187,39.45363650117104
c:/Github/BDC2026\test\929.jpg,929.jpg,test,,8814,1782752596.0,2026-06-30 00:03:16,1a955d3745ee52301f76bedf0e1c5afe,False,259,194,RGB,JPEG,1.3350515463917525,b38c63f11ce36499,196.60298000504187,39.45363650117104
c:/Github/BDC2026\train\2_Organic\O_4603.jpg,O_4603.jpg,train,2_Organic,11876,1604328412.0,2020-11-02 21:46:52,1b98a6c3dd2fa2494690a091486fc1f7,False,223,226,RGB,JPEG,0.9867256637168141,e7b835166b8c9545,121.79131447015094,65.39862578023353
c:/Github/BDC2026\test\1274.jpg,1274.jpg,test,,11876,1782752596.0,2026-06-30 00:03:16,1b98a6c3dd2fa2494690a091486fc1f7,False,223,226,RGB,JPEG,0.9867256637168141,e7b835166b8c9545,121.79131447015094,65.39862578023353
c:/Github/BDC2026\train\2_Organic\O_4494.jpg,O_4494.jpg,train,2_Organic,9158,1604328410.0,2020-11-02 21:46:50,1d02ca2ac1e0a03037b4edc6096bef9a,False,183,275,RGB,JPEG,0.6654545454545454,d5394a872d1b351e,140.7418181818182,74.88211029992821
c:/Github/BDC2026\test\408.jpg,408.jpg,test,,9158,1782752596.0,2026-06-30 00:03:16,1d02ca2ac1e0a03037b4edc6096bef9a,False,183,275,RGB,JPEG,0.6654545454545454,d5394a872d1b351e,140.7418181818182,74.88211029992821
c:/Github/BDC2026\train\0_Recyclable\R_8721.jpg,R_8721.jpg,train,0_Recyclable,7839,1604328424.0,2020-11-02 21:47:04,1dec435a888f181736969f22c63c68ac,False,275,183,RGB,JPEG,1.5027322404371584,be3cc1c3079fc1c1,224.9727173373075,67.9018082941506
c:/Github/BDC2026\train\0_Recyclable\R_9487.jpg,R_9487.jpg,train,0_Recyclable,7839,1604328424.0,2020-11-02 21:47:04,1dec435a888f181736969f22c63c68ac,False,275,183,RGB,JPEG,1.5027322404371584,be3cc1c3079fc1c1,224.9727173373075,67.9018082941506
c:/Github/BDC2026\train\1_Electronic\Mobile_56.jpg,Mobile_56.jpg,train,1_Electronic,3712,1781617512.0,2026-06-16 20:45:12,2086b74534bb71e0a6bd160371c2fd35,False,150,150,RGB,JPEG,1.0,e5e8976b18366893,131.74776296296295,46.48065070682185
c:/Github/BDC2026\train\1_Electronic\Mobile_6.jpg,Mobile_6.jpg,train,1_Electronic,3712,1781617512.0,2026-06-16 20:45:12,2086b74534bb71e0a6bd160371c2fd35,False,150,150,RGB,JPEG,1.0,e5e8976b18366893,131.74776296296295,46.48065070682185
c:/Github/BDC2026\train\2_Organic\O_4580.jpg,O_4580.jpg,train,2_Organic,14104,1604328412.0,2020-11-02 21:46:52,20983d0305cf274c726efd952c9f1c84,False,201,251,RGB,JPEG,0.8007968127490039,b87e83603c3a6cce,142.03805012123976,72.36804344657835
c:/Github/BDC2026\test\268.jpg,268.jpg,test,,14104,1782752596.0,2026-06-30 00:03:16,20983d0305cf274c726efd952c9f1c84,False,201,251,RGB,JPEG,0.8007968127490039,b87e83603c3a6cce,142.03805012123976,72.36804344657835
c:/Github/BDC2026\train\2_Organic\O_4588.jpg,O_4588.jpg,train,2_Organic,5434,1604328412.0,2020-11-02 21:46:52,20f7593a9c445cac9569cb74a6fd7f7a,False,211,239,RGB,JPEG,0.8828451882845189,b3aecc4198939b99,161.19623629260943,53.8472103460777
c:/Github/BDC2026\test\1129.jpg,1129.jpg,test,,5434,1782752596.0,2026-06-30 00:03:16,20f7593a9c445cac9569cb74a6fd7f7a,False,211,239,RGB,JPEG,0.8828451882845189,b3aecc4198939b99,161.19623629260943,53.8472103460777
c:/Github/BDC2026\train\0_Recyclable\R_8805.jpg,R_8805.jpg,train,0_Recyclable,3897,1604328424.0,2020-11-02 21:47:04,218cf6e6307b5c2c9f289617d82f2a3a,False,284,177,RGB,JPEG,1.6045197740112995,b961d09694f94a6b,238.702819553858,32.52956227297701
c:/Github/BDC2026\train\0_Recyclable\R_9484.jpg,R_9484.jpg,train,0_Recyclable,3897,1604328424.0,2020-11-02 21:47:04,218cf6e6307b5c2c9f289617d82f2a3a,False,284,177,RGB,JPEG,1.6045197740112995,b961d09694f94a6b,238.702819553858,32.52956227297701
c:/Github/BDC2026\train\1_Electronic\16.large-pile-of-e-waste-sadoff-e-recycling.jpeg,16.large-pile-of-e-waste-sadoff-e-recycling.jpeg,train,1_Electronic,230490,1781393310.0,2026-06-14 06:28:30,226c7ba8fa8071753f360dcfd63eda4c,False,1000,667,RGB,JPEG,1.4992503748125936,cc1e21694d96f96a,115.12842228885557,70.38132985544745
c:/Github/BDC2026\train\1_Electronic\8.large-pile-of-e-waste-sadoff-e-recycling.jpeg,8.large-pile-of-e-waste-sadoff-e-recycling.jpeg,train,1_Electronic,230490,1781391068.0,2026-06-14 05:51:08,226c7ba8fa8071753f360dcfd63eda4c,False,1000,667,RGB,JPEG,1.4992503748125936,cc1e21694d96f96a,115.12842228885557,70.38132985544745
c:/Github/BDC2026\train\2_Organic\O_4786.jpg,O_4786.jpg,train,2_Organic,6778,1604328412.0,2020-11-02 21:46:52,258a036631d5a46c3b120e7957927626,False,255,198,RGB,JPEG,1.2878787878787878,ee98b133856b9265,186.06395986003827,64.83210180156121
c:/Github/BDC2026\test\294.jpg,294.jpg,test,,6778,1782752596.0,2026-06-30 00:03:16,258a036631d5a46c3b120e7957927626,False,255,198,RGB,JPEG,1.2878787878787878,ee98b133856b9265,186.06395986003827,64.83210180156121
c:/Github/BDC2026\train\2_Organic\O_4646.jpg,O_4646.jpg,train,2_Organic,11754,1604328412.0,2020-11-02 21:46:52,26a1e4fe29e8d08d1469622d48a11251,False,300,168,RGB,JPEG,1.7857142857142858,eb552d6aa432f053,92.02470238095238,55.95202319713797
c:/Github/BDC2026\test\71.jpg,71.jpg,test,,11754,1782752596.0,2026-06-30 00:03:16,26a1e4fe29e8d08d1469622d48a11251,False,300,168,RGB,JPEG,1.7857142857142858,eb552d6aa432f053,92.02470238095238,55.95202319713797
c:/Github/BDC2026\train\2_Organic\O_4816.jpg,O_4816.jpg,train,2_Organic,11785,1604328412.0,2020-11-02 21:46:52,27ea935f668538fa11ea363e956d0387,False,318,159,RGB,JPEG,2.0,aaeccd93b48141bd,164.15036325039884,77.71956782914333
c:/Github/BDC2026\test\113.jpg,113.jpg,test,,11785,1782752596.0,2026-06-30 00:03:16,27ea935f668538fa11ea363e956d0387,False,318,159,RGB,JPEG,2.0,aaeccd93b48141bd,164.15036325039884,77.71956782914333
c:/Github/BDC2026\train\2_Organic\O_10077.jpg,O_10077.jpg,train,2_Organic,9125,1604328404.0,2020-11-02 21:46:44,28f1232d4bd2e18a3dfa29cc3ce6a853,False,266,189,RGB,JPEG,1.4074074074074074,9b5afb10e14bc439,115.11152882205515,71.2730938506029
c:/Github/BDC2026\train\2_Organic\O_6683.jpg,O_6683.jpg,train,2_Organic,9125,1604328414.0,2020-11-02 21:46:54,28f1232d4bd2e18a3dfa29cc3ce6a853,False,266,189,RGB,JPEG,1.4074074074074074,9b5afb10e14bc439,115.11152882205515,71.2730938506029
c:/Github/BDC2026\train\2_Organic\O_4690.jpg,O_4690.jpg,train,2_Organic,7442,1604328412.0,2020-11-02 21:46:52,2ac0868633bf9e643557a8c9869449e4,False,269,187,RGB,JPEG,1.4385026737967914,926e2cc963f44bb2,57.58947445149064,61.62260445413716
c:/Github/BDC2026\test\1055.jpg,1055.jpg,test,,7442,1782752596.0,2026-06-30 00:03:16,2ac0868633bf9e643557a8c9869449e4,False,269,187,RGB,JPEG,1.4385026737967914,926e2cc963f44bb2,57.58947445149064,61.62260445413716
c:/Github/BDC2026\train\2_Organic\O_4540.jpg,O_4540.jpg,train,2_Organic,7565,1604328412.0,2020-11-02 21:46:52,2b99bdaa58210b9e0b65a08ba164d5ef,False,299,168,RGB,JPEG,1.7797619047619047,b997c478cd438666,203.0923183097096,56.65538975131951
c:/Github/BDC2026\test\1315.jpg,1315.jpg,test,,7565,1782752596.0,2026-06-30 00:03:16,2b99bdaa58210b9e0b65a08ba164d5ef,False,299,168,RGB,JPEG,1.7797619047619047,b997c478cd438666,203.0923183097096,56.65538975131951
c:/Github/BDC2026\train\2_Organic\O_4534.jpg,O_4534.jpg,train,2_Organic,8375,1604328412.0,2020-11-02 21:46:52,2c5a8ca54989b802776783baa1f9e844,False,277,182,RGB,JPEG,1.521978021978022,de44293ff5734284,99.75434733737984,69.79922991683905
c:/Github/BDC2026\test\1262.jpg,1262.jpg,test,,8375,1782752596.0,2026-06-30 00:03:16,2c5a8ca54989b802776783baa1f9e844,False,277,182,RGB,JPEG,1.521978021978022,de44293ff5734284,99.75434733737984,69.79922991683905
c:/Github/BDC2026\train\1_Electronic\Player_243.jpg,Player_243.jpg,train,1_Electronic,4555,1781617528.0,2026-06-16 20:45:28,2cdadbe24040e31fa3ba45868a38d6ea,False,150,150,RGB,JPEG,1.0,e8c39d3dc16e3232,206.78272592592592,69.60135504296177
c:/Github/BDC2026\train\1_Electronic\Player_38.jpg,Player_38.jpg,train,1_Electronic,4555,1781617530.0,2026-06-16 20:45:30,2cdadbe24040e31fa3ba45868a38d6ea,False,150,150,RGB,JPEG,1.0,e8c39d3dc16e3232,206.78272592592592,69.60135504296177
c:/Github/BDC2026\train\2_Organic\O_4657.jpg,O_4657.jpg,train,2_Organic,17686,1604328412.0,2020-11-02 21:46:52,2d3d97e22d573f23a37095eb0de913a9,False,300,168,RGB,JPEG,1.7857142857142858,b39e3e60b54bd841,116.69878968253967,68.63012965440834
c:/Github/BDC2026\test\897.jpg,897.jpg,test,,17686,1782752596.0,2026-06-30 00:03:16,2d3d97e22d573f23a37095eb0de913a9,False,300,168,RGB,JPEG,1.7857142857142858,b39e3e60b54bd841,116.69878968253967,68.63012965440834
c:/Github/BDC2026\train\2_Organic\O_4507.jpg,O_4507.jpg,train,2_Organic,11411,1604328410.0,2020-11-02 21:46:50,2dd1e44d012bb5c31bbe17a1a19863c5,False,259,194,RGB,JPEG,1.3350515463917525,ae0bf65a82a519c7,146.31468508272633,70.4813348984737
c:/Github/BDC2026\test\375.jpg,375.jpg,test,,11411,1782752596.0,2026-06-30 00:03:16,2dd1e44d012bb5c31bbe17a1a19863c5,False,259,194,RGB,JPEG,1.3350515463917525,ae0bf65a82a519c7,146.31468508272633,70.4813348984737
c:/Github/BDC2026\train\1_Electronic\40.5wh0lsj1gtwy.jpg,40.5wh0lsj1gtwy.jpg,train,1_Electronic,862273,1781417190.0,2026-06-14 13:06:30,3037c0f79ad2c808fcdfa8440379a24a,False,3264,2448,RGB,JPEG,1.3333333333333333,e1c1f070bc3c1e3d,56.83850261918493,55.958829151333155
c:/Github/BDC2026\train\1_Electronic\5wh0lsj1gtwy.jpg,5wh0lsj1gtwy.jpg,train,1_Electronic,862273,1604328394.0,2020-11-02 21:46:34,3037c0f79ad2c808fcdfa8440379a24a,False,3264,2448,RGB,JPEG,1.3333333333333333,e1c1f070bc3c1e3d,56.83850261918493,55.958829151333155
c:/Github/BDC2026\train\0_Recyclable\R_8803.jpg,R_8803.jpg,train,0_Recyclable,4776,1604328424.0,2020-11-02 21:47:04,32f4987cd55ee570be6b1a3ddf7fb23d,False,177,285,RGB,JPEG,0.6210526315789474,c359fcacaca5850d,176.61316285062938,112.9554640886815
c:/Github/BDC2026\train\0_Recyclable\R_9412.jpg,R_9412.jpg,train,0_Recyclable,4776,1604328424.0,2020-11-02 21:47:04,32f4987cd55ee570be6b1a3ddf7fb23d,False,177,285,RGB,JPEG,0.6210526315789474,c359fcacaca5850d,176.61316285062938,112.9554640886815
c:/Github/BDC2026\train\2_Organic\O_4483.jpg,O_4483.jpg,train,2_Organic,8497,1604328410.0,2020-11-02 21:46:50,3391cf0a1507195f70dc89238b0ad0bb,False,287,176,RGB,JPEG,1.6306818181818181,bbfb80e4e3e400dc,128.53178782599514,44.26078761935393
c:/Github/BDC2026\test\415.jpg,415.jpg,test,,8497,1782752596.0,2026-06-30 00:03:16,3391cf0a1507195f70dc89238b0ad0bb,False,287,176,RGB,JPEG,1.6306818181818181,bbfb80e4e3e400dc,128.53178782599514,44.26078761935393
c:/Github/BDC2026\train\2_Organic\O_1703.jpg,O_1703.jpg,train,2_Organic,12589,1604328408.0,2020-11-02 21:46:48,344700191fcc879fb8d47636b4634bb2,False,191,263,RGB,JPEG,0.7262357414448669,9acac87d48a7847d,171.8816116895268,57.80284309101611
c:/Github/BDC2026\train\2_Organic\O_388.jpg,O_388.jpg,train,2_Organic,12589,1604328410.0,2020-11-02 21:46:50,344700191fcc879fb8d47636b4634bb2,False,191,263,RGB,JPEG,0.7262357414448669,9acac87d48a7847d,171.8816116895268,57.80284309101611
c:/Github/BDC2026\train\0_Recyclable\R_8567.jpg,R_8567.jpg,train,0_Recyclable,4426,1604328424.0,2020-11-02 21:47:04,37a636d104a9026bebc6fab63254551b,False,225,225,RGB,JPEG,1.0,efc0943df2620f98,245.39427160493827,28.77168441324938
c:/Github/BDC2026\train\0_Recyclable\R_9471.jpg,R_9471.jpg,train,0_Recyclable,4426,1604328424.0,2020-11-02 21:47:04,37a636d104a9026bebc6fab63254551b,False,225,225,RGB,JPEG,1.0,efc0943df2620f98,245.39427160493827,28.77168441324938
c:/Github/BDC2026\train\2_Organic\O_4521.jpg,O_4521.jpg,train,2_Organic,8030,1604328412.0,2020-11-02 21:46:52,38cd7db69edc9c7d7543a5072af7ef20,False,260,194,RGB,JPEG,1.3402061855670102,95fe46c1788e2b31,70.78096087761037,39.44587895450555
c:/Github/BDC2026\test\994.jpg,994.jpg,test,,8030,1782752596.0,2026-06-30 00:03:16,38cd7db69edc9c7d7543a5072af7ef20,False,260,194,RGB,JPEG,1.3402061855670102,95fe46c1788e2b31,70.78096087761037,39.44587895450555
c:/Github/BDC2026\train\2_Organic\O_4768.jpg,O_4768.jpg,train,2_Organic,9229,1604328412.0,2020-11-02 21:46:52,3b934dad78f04661821514eabe24a374,False,300,168,RGB,JPEG,1.7857142857142858,b1d0c0cfc71b931b,127.54738756613756,70.9549297299285
c:/Github/BDC2026\test\811.jpg,811.jpg,test,,9229,1782752596.0,2026-06-30 00:03:16,3b934dad78f04661821514eabe24a374,False,300,168,RGB,JPEG,1.7857142857142858,b1d0c0cfc71b931b,127.54738756613756,70.9549297299285
c:/Github/BDC2026\train\1_Electronic\18.E-Waste_Landfill.jpg,18.E-Waste_Landfill.jpg,train,1_Electronic,481271,1781393672.0,2026-06-14 06:34:32,3d3d78b2abc93659c19c59edcd2e1698,False,1632,1224,RGB,JPEG,1.3333333333333333,d3efcda0bc7c2208,145.12448220369302,65.36360508322541
c:/Github/BDC2026\train\1_Electronic\5.E-Waste_Landfill.jpg,5.E-Waste_Landfill.jpg,train,1_Electronic,481271,1781403624.0,2026-06-14 09:20:24,3d3d78b2abc93659c19c59edcd2e1698,False,1632,1224,RGB,JPEG,1.3333333333333333,d3efcda0bc7c2208,145.12448220369302,65.36360508322541
c:/Github/BDC2026\train\2_Organic\O_1642.jpg,O_1642.jpg,train,2_Organic,6454,1604328408.0,2020-11-02 21:46:48,3e337eac825df771b0270aaba6c3af1b,False,278,181,RGB,JPEG,1.5359116022099448,b7c8c937ac2622cb,187.00504789538536,84.53520487082083
c:/Github/BDC2026\train\2_Organic\O_410.jpg,O_410.jpg,train,2_Organic,6454,1604328410.0,2020-11-02 21:46:50,3e337eac825df771b0270aaba6c3af1b,False,278,181,RGB,JPEG,1.5359116022099448,b7c8c937ac2622cb,187.00504789538536,84.53520487082083
c:/Github/BDC2026\train\2_Organic\O_4571.jpg,O_4571.jpg,train,2_Organic,3791,1604328412.0,2020-11-02 21:46:52,3ed6416fe549ceb79fe94127d5685bb7,False,272,185,RGB,JPEG,1.4702702702702704,cad2852da5ad934b,214.57937864334926,55.329977647355044
c:/Github/BDC2026\test\447.jpg,447.jpg,test,,3791,1782752596.0,2026-06-30 00:03:16,3ed6416fe549ceb79fe94127d5685bb7,False,272,185,RGB,JPEG,1.4702702702702704,cad2852da5ad934b,214.57937864334926,55.329977647355044
c:/Github/BDC2026\train\1_Electronic\Mouse_176.jpg,Mouse_176.jpg,train,1_Electronic,3760,1781617514.0,2026-06-16 20:45:14,3f354f036a337764cde8db4220ccf8be,False,150,150,RGB,JPEG,1.0,fbb1b1c6cecc1031,203.37925925925924,45.193809257931925
c:/Github/BDC2026\train\1_Electronic\Mouse_212.jpg,Mouse_212.jpg,train,1_Electronic,3760,1781617516.0,2026-06-16 20:45:16,3f354f036a337764cde8db4220ccf8be,False,150,150,RGB,JPEG,1.0,fbb1b1c6cecc1031,203.37925925925924,45.193809257931925
c:/Github/BDC2026\train\2_Organic\O_1473.jpg,O_1473.jpg,train,2_Organic,9619,1604328408.0,2020-11-02 21:46:48,3fbd85c03726d0a6e278e697044d9b5b,False,259,194,RGB,JPEG,1.3350515463917525,f4d33260c8eaeda1,83.9902479799387,56.285761253360484
c:/Github/BDC2026\train\2_Organic\O_192.jpg,O_192.jpg,train,2_Organic,9619,1604328408.0,2020-11-02 21:46:48,3fbd85c03726d0a6e278e697044d9b5b,False,259,194,RGB,JPEG,1.3350515463917525,f4d33260c8eaeda1,83.9902479799387,56.285761253360484
c:/Github/BDC2026\train\2_Organic\O_4482.jpg,O_4482.jpg,train,2_Organic,12551,1604328410.0,2020-11-02 21:46:50,41a10cc8785ffda120bbbc314172940a,False,259,194,RGB,JPEG,1.3350515463917525,b749ba537a95a0a1,106.83529037137284,62.24539663366077
c:/Github/BDC2026\test\24.jpg,24.jpg,test,,12551,1782752596.0,2026-06-30 00:03:16,41a10cc8785ffda120bbbc314172940a,False,259,194,RGB,JPEG,1.3350515463917525,b749ba537a95a0a1,106.83529037137284,62.24539663366077
c:/Github/BDC2026\train\1_Electronic\Mouse_171.jpg,Mouse_171.jpg,train,1_Electronic,4648,1781617514.0,2026-06-16 20:45:14,41b824af5fea2fe15ddafd55c94f50c3,False,150,150,RGB,JPEG,1.0,c02f3fc4f8e68513,81.64802962962962,63.76835743558458
c:/Github/BDC2026\train\1_Electronic\Mouse_201.jpg,Mouse_201.jpg,train,1_Electronic,4648,1781617516.0,2026-06-16 20:45:16,41b824af5fea2fe15ddafd55c94f50c3,False,150,150,RGB,JPEG,1.0,c02f3fc4f8e68513,81.64802962962962,63.76835743558458
c:/Github/BDC2026\train\2_Organic\O_4469.jpg,O_4469.jpg,train,2_Organic,14525,1604328410.0,2020-11-02 21:46:50,43144f5ecd9d3d1cd7e60ce7064ebdc0,False,301,167,RGB,JPEG,1.8023952095808384,9cf8a09bd7c74053,109.4869065855001,68.87613038495222
c:/Github/BDC2026\test\467.jpg,467.jpg,test,,14525,1782752596.0,2026-06-30 00:03:16,43144f5ecd9d3d1cd7e60ce7064ebdc0,False,301,167,RGB,JPEG,1.8023952095808384,9cf8a09bd7c74053,109.4869065855001,68.87613038495222
c:/Github/BDC2026\train\1_Electronic\Television_207.jpg,Television_207.jpg,train,1_Electronic,2722,1781617540.0,2026-06-16 20:45:40,457c8e5e0117a785df49378fa7f73a5d,False,150,150,RGB,JPEG,1.0,e9699696585e4669,198.10522962962963,82.72057023457585
